Pharmaceutical,Prescribed_Daily_Dosage,Num_Prescriptions,SMILES,INCHIKEY,INCHI_STRING,Molar_Mass,MOLECULAR_FORMULA,Boiling.Point,Density,Flash.Point,Henry.s.Law,Index.of.Refraction,liquid.chromatography.Retention.Time,LogD5.5,LogD7.4,LogKoa.Octanol.Air,LogKow.Octanol.Water,Melting.Point,Molar.Refractivity,Molar.Volume,pKa.Acidic.Apparent,pKa.Basic.Apparent,Polarizability,ReadyBiodeg,Surface.Tension,Thermal.Conductivity,Vapor.Pressure,Viscosity,Water.Solubility,Invertebrate_Median_LC50,Plants_Algae_Median_LC50,Vertebrate_Median_LC50,Min_Vertebrate_LC50,Invertebrate_median_NOEC,Plants_algae_median_NOEC,Vertebrate_median_NOEC,Min_Vertebrate_NOEC,Amides,Ethers,Tertiary amines,Alkyl halides,Secondary amines,Aliphatic alcohols,Aromatic alcohols,Carboxylic acids,Sulfonamides,Primary amines,Ureas,Esters,Nitriles,Ketones,Sulfides,Carbamates,Sulfones,Guanidines,Amidines,Thiols,Imines,Imides
LACTULOSE,21176416551.7332,47,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,JCQLYHFGKNRPGE-FCVZTGTOSA-N,"InChI=1S/C12H22O11/c13-1-4-6(16)7(17)8(18)11(21-4)22-9-5(2-14)23-12(20,3-15)10(9)19/h4-11,13-20H,1-3H2/t4-,5-,6+,7+,8-,9-,10+,11+,12-/m1/s1
",342.297,C12H22O11,512.0565,1.7565,371.0615,2.1379620895022298e-11,1.656,0.75,-3.46,-3.37,9.57,-3.345,184.8605,70.859,192.83,,4.86,28.091,1.0,113.034,,5.495408738576249e-11,9.28966,1.12201845430196,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METFORMIN,13372440212.2411,9020,CN(C)C(=N)NC(N)=N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)
",129.167,C4H11N5,257.0,1.226,99.659,3.5481338923357603e-09,1.576,0.0,-7.4,-5.5,5.93,-1.7175,129.632,33.359,100.793,,13.28,13.224,0.0,50.822,,0.663000000330347,,0.530884,,,,,,,20.5,20.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
GABAPENTIN,5542507632.70243,5041,NCC1(CC(O)=O)CCCCC1,UGJMXCAKCUNAIE-UHFFFAOYSA-N,"InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)
",171.24,C9H17NO2,295.219,1.078,144.3275,3.01995172040202e-08,1.489,4.56,-2.69,-4.58,7.92,-1.1,164.0,46.696,161.825,3.92,,18.512,1.0,47.09,173.068,0.000368978,22.9615,0.05711315,,,,,,,8561980.0,8561980.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IBUPROFEN,3608808345.04339,1674,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,HEFNNWSXXWATRW-UHFFFAOYSA-N,"InChI=1/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)
",206.285,C13H18O2,294.758,1.045,196.7275,8.128305161641e-08,1.519,12.77,3.05,1.25,8.76,3.731,76.0,60.776,200.339,4.74,,24.093,0.0,36.6035,132.813,0.000139,18.3654,0.000198997,22380.0,,100000.0,680.0,2550.0,1250.0,209.6425,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMOXICILLIN,3323636183.10459,1279,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1
",365.4,C16H19N3O5S,578.643,1.527,388.2555,1.9054607179632398e-11,1.702,0.68,-1.72,0.1,9.43,0.87,214.934,91.475,236.218,6.4,8.09,36.264,0.0,85.33,,8.47227e-12,,0.00933,,,1000000.0,1000000.0,10.0,127562.5,148351.0,114000.0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ACETAMINOPHEN,1406601037.63534,873,CC(=O)NC1=CC=C(O)C=C1,RZVAJINKPMORJF-UHFFFAOYSA-N,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)
",151.165,C8H9NO2,325.325,1.2245,175.7835,5.75439937337157e-09,1.619,6.52,0.46,0.46,7.96,0.404,170.0,42.406,120.946,9.5,,16.811,1.0,52.801,171.811,6.91830970918936e-06,23.0144,0.0933254,186739.15,8000.0,160000.0,33900.0,7150.0,583.0,52250.0,10.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CIPROFLOXACIN,1275166100.22065,364,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)
",331.347,C17H18FN3O3,486.3495,1.4175,298.0265,9.33254300796992e-12,1.655,9.71,-2.13,-0.35,9.43,0.28,255.5,83.257,226.758,-0.74,7.91,33.006,0.0,67.431,,6.76082975391982e-10,,0.0066069344800759,507000.0,,125000.0,125000.0,2500.0,725.0,51656.735,3313.47,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEPHALEXIN,1024582894.58289,603,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1
",347.39,C16H17N3O4S,543.195,1.5075,381.78,1.54881661891248e-11,1.7,1.58,0.62,-0.21,9.36,0.65,251.3085,89.415,231.348,6.6,,35.447,0.0,78.5,,1.37088e-11,,0.00334965,1000000.0,,,,,1000.0,,,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
LEVETIRACETAM,1022262511.16132,666,CC[C@H](N1CCCC1=O)C(N)=O,HPHUVLMMVZITSG-LURJTMIESA-N,"InChI=1S/C8H14N2O2/c1-2-6(8(9)12)10-5-3-4-7(10)11/h6H,2-5H2,1H3,(H2,9,12)/t6-/m0/s1
",170.212,C8H14N2O2,348.654,1.113,169.784,2.34422881531992e-09,1.519,4.29,-0.82,-0.82,9.06,-0.7045,129.4,44.206,145.69,9.42,,17.525,0.0,48.869,173.507,3.74973e-06,,0.1342445,,,,,,,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHOCARBAMOL,942706748.134244,467,COC1=CC=CC=C1OCC(O)COC(N)=O,GNXFOGHNGIVQEH-UHFFFAOYSA-N,"InChI=1/C11H15NO5/c1-15-9-4-2-3-5-10(9)16-6-8(13)7-17-11(12)14/h2-5,8,13H,6-7H2,1H3,(H2,12,14)
",241.243,C11H15NO5,360.5075,1.2455,230.7175,1.09647819614318e-09,1.541,5.13,0.59,-0.07,8.36,0.61,93.0,60.312,192.0,6.82,,23.91,1.0,48.947,,4.78630092322638e-09,39.9025,0.0446273662595175,,,,,,,0.023,0.023,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
