"","Pharmaceutical","Human"
"1","acetaminophen",3390
"2","amiodarone",52.6
"3","amoxicillin",1e+05
"4","ampicillin",1e+05
"5","aspirin",27460
"6","bismuth subsalicylate",11.4
"7","carbamazepine",86.2
"8","ciprofloxacin",10000
"9","clarithromycin",10000
"10","dexamethasone",25.4
"11","diazepam",1270
"12","diclofenac",1010
"13","diphenhydramine",2808.96
"14","erythromycin",10000
"15","ethinyl estradiol",1e-04
"16","fenofibrate",16.9
"17","fluconazole",491
"18","fluoxetine",25.0558
"19","gemfibrozil",85.1149
"20","ibuprofen",68
"21","indomethacin",5366.9
"22","isotretinoin",1.8
"23","levofloxacin",10000
"24","methimazole",89480
"25","metronidazole",10000
"26","nitroglycerin",0.69282
"27","norethindrone",1.48
"28","nortriptyline",219
"29","omeprazole",2070
"30","permethrin",48.5
"31","phenytoin",6306.81
"32","propranolol",1140
"33","pseudoephedrine",2e+05
"34","sertraline",14.3
"35","simvastatin",268
"36","sulfamethoxazole",56250
"37","trimethoprim",10000
"38","verapamil",60
"39","warfarin",3.43
