"","Ensemble_number","Drug","Predicted_concentration","Predicted_molar_concentration","Predicted_mass_load"
"1",1,"metformin",65.6449049945367,5.08217307784006e-07,20376.4410899242
"2",1,"gabapentin",20.5711255655693,1.20130375879288e-07,6385.35966005497
"3",1,"diclofenac",11.4229555109057,3.85715195370782e-08,3545.73108240718
"4",1,"levetiracetam",3.0025666675352,1.76401585524828e-08,932.008703869595
"5",1,"ibuprofen",2.91586513832923,1.41351292548136e-08,905.096202397946
"6",1,"allopurinol",1.85916844541489,1.36589068384949e-08,577.093322130564
"7",1,"benzoyl peroxide",3.25424506855888,1.3434525321219e-08,1010.13068626095
"8",1,"fluorouracil",1.43128695883646,1.10032977047345e-08,444.277197170673
"9",1,"ketoconazole",5.38558042285187,1.0134129467384e-08,1671.70570557491
"10",1,"mesalamine",1.44951918648362,9.46550596187476e-09,449.93655356126
"11",1,"lactulose",2.12286892051113,6.2018332632513e-09,658.947004402337
"12",1,"lidocaine",1.12503083431021,4.80078702717901e-09,349.214071093227
"13",1,"pregabalin",0.70934522838599,4.45487460441245e-09,220.183596271925
"14",1,"sulfacetamide sodium",1.02597576062164,4.03546161352125e-09,318.46698
"15",1,"amoxicillin",1.4723749777001,4.02948817104571e-09,457.031082578023
"16",1,"acyclovir",0.823909642138233,3.65843860847853e-09,255.744848558276
"17",1,"diphenhydramine",0.926849805662134,3.62956679235331e-09,287.697887076749
"18",1,"valacyclovir",1.00017251056576,3.08370668699228e-09,310.457547969655
"19",1,"losartan",1.29332077710721,3.05807428617045e-09,401.451942497185
"20",1,"sulfasalazine",1.19646151095466,3.00324182573524e-09,371.386438846371
"21",1,"hydrocortisone",0.965280011299669,2.66309119006933e-09,299.626776627462
"22",1,"permethrin",0.935062862422046,2.38969271492255e-09,290.247252747253
"23",1,"methocarbamol",0.557493643524705,2.31092153357695e-09,173.048256924642
"24",1,"lisinopril",0.926285670219813,2.2843331489163e-09,287.522777178911
"25",1,"chlorhexidine",1.11681010593368,2.20953626656184e-09,346.662324122238
"26",1,"ciclopirox",0.420483858794073,2.02864752666325e-09,130.519871705115
"27",1,"clindamycin",0.856163350231879,2.01459680510113e-09,265.756528565376
"28",1,"albuterol",0.441105358007286,1.84319979110079e-09,136.920867546894
"29",1,"furosemide",0.591940317185384,1.78974516897075e-09,183.740642215612
"30",1,"guaifenesin",0.350751075405097,1.76952181640969e-09,108.874536810044
"31",1,"cephalexin",0.603505285391212,1.73725577993383e-09,187.330454606574
"32",1,"dapsone",0.422260758789928,1.70060716387406e-09,131.071428571429
"33",1,"hydrochlorothiazide",0.485948282818443,1.63217775440313e-09,150.840290779976
"34",1,"mupirocin",0.812647196754519,1.62325234206272e-09,252.24894046139
"35",1,"atenolol",0.393443556807573,1.47721738976565e-09,122.126453807298
"36",1,"nitroglycerin",0.307635985029748,1.354717330646e-09,95.4914402971738
"37",1,"dorzolamide",0.426170234938476,1.31359687741108e-09,132.284945605843
"38",1,"imiquimod",0.285071620532826,1.18626615843213e-09,88.4873712998713
"39",1,"atorvastatin",0.616638745449657,1.10380156708074e-09,191.407133142555
"40",1,"ciprofloxacin",0.355085647341272,1.07164286183751e-09,110.22000527732
"41",1,"sitagliptin",0.421336930851811,1.03441257697096e-09,130.784668684126
"42",1,"topiramate",0.344870702084774,1.0162385139226e-09,107.049245409922
"43",1,"silver sulfadiazine",0.356340201918407,9.97760547455919e-10,110.609424036281
"44",1,"clotrimazole",0.34028498571884,9.86790934111008e-10,105.625820707071
"45",1,"labetalol",0.316705804306688,9.64355152389949e-10,98.3067484800132
"46",1,"hydralazine",0.150094937182541,9.37039188304039e-10,46.5900688812094
"47",1,"irbesartan",0.394362611504117,9.20246911616458e-10,122.411732061324
"48",1,"carbamazepine",0.201684032496316,8.53602311283999e-10,62.6035304229864
"49",1,"triamcinolone",0.302333887964196,7.66490859078834e-10,93.8456481596383
"50",1,"pravastatin",0.323376687583458,7.61721528978733e-10,100.377417332656
"51",1,"clopidogrel",0.23579705863385,7.32698585028433e-10,73.1923501881816
"52",1,"brimonidine",0.213652231701796,7.31335084896952e-10,66.3185073291641
"53",1,"valsartan",0.299989834530809,6.88795747990506e-10,93.1180445977012
"54",1,"sertraline",0.197188841701554,6.43923984265273e-10,61.2082052195293
"55",1,"penicillin v potassium",0.236785204407042,6.09517103601323e-10,73.4990745887634
"56",1,"omeprazole",0.207677066180897,6.01230577791953e-10,64.463792050815
"57",1,"hydroxyzine",0.224170587580437,5.97931737164753e-10,69.5834470673181
"58",1,"erythromycin",0.431372190325168,5.87750979069277e-10,133.899653365694
"59",1,"tramadol",0.152970839048612,5.80796788867124e-10,47.4827603240454
"60",1,"hydroxychloroquine",0.189826482696878,5.65161613364528e-10,58.9228995350416
"61",1,"naproxen",0.124675187038114,5.41446897843396e-10,38.6996767573787
"62",1,"docusate",0.225792986957939,5.34320097870082e-10,70.0870463236921
"63",1,"acetaminophen",0.0745665002803743,4.93278869317463e-10,23.1457399530293
"64",1,"metoprolol",0.130614553551371,4.88517941688718e-10,40.5432798805598
"65",1,"rosuvastatin",0.234740713048992,4.8747915655811e-10,72.8644562932595
"66",1,"olopatadine",0.162086428637006,4.80371373980144e-10,50.3122757946413
"67",1,"gemfibrozil",0.112558790753878,4.49627266950594e-10,34.9386988851667
"68",1,"doxycycline",0.199545570134541,4.48982022622944e-10,61.9397431520421
