"","Ensemble_number","Drug","Predicted_concentration","Predicted_molar_concentration","Predicted_mass_load"
"1",1,"metformin",63.4032248744011,4.90862409705274e-07,19680.6146139136
"2",1,"gabapentin",22.7934909313787,1.33108449727743e-07,7075.19075906368
"3",1,"fluorouracil",6.94799494580806,5.34140665278376e-08,2156.6854231586
"4",1,"diclofenac",14.4092784748101,4.86553384258319e-08,4472.69767569496
"5",1,"ketoconazole",11.0814411992837,2.08521182456461e-08,3439.72367402245
"6",1,"levetiracetam",3.26365942123391,1.91740853831334e-08,1013.05293898869
"7",1,"allopurinol",1.67660481049439,1.23176514575605e-08,520.424839596701
"8",1,"ibuprofen",2.14559612827758,1.04011252794802e-08,666.001620601873
"9",1,"hydrocortisone",2.93844752298225,8.10682249640587e-09,912.105864923782
"10",1,"sulfasalazine",3.04443132558438,7.64183670670545e-09,945.003661186695
"11",1,"mupirocin",3.62788927122553,7.24666224135144e-09,1126.11134134549
"12",1,"amoxicillin",2.51258528617765,6.8762596775524e-09,779.916523170687
"13",1,"pregabalin",1.0508818198311,6.59981422875919e-09,326.197920402852
"14",1,"losartan",1.08767726264903,2.57182744407696e-09,337.619373035309
"15",1,"penicillin v potassium",0.986605018362674,2.53965459833884e-09,306.246144119847
"16",1,"albuterol",0.579475932448344,2.42139411423582e-09,179.871647335696
"17",1,"furosemide",0.769535795572227,2.32670918416952e-09,238.866989088801
"18",1,"lisinopril",0.937109282431902,2.31102549336466e-09,290.882469703992
"19",1,"nitroglycerin",0.486765799097702,2.14354008013608e-09,151.094051103123
"20",1,"labetalol",0.642405282569347,1.956095643793e-09,199.405169330656
"21",1,"hydrochlorothiazide",0.570666287071941,1.91672416979122e-09,177.137098172279
"22",1,"atenolol",0.443612046421003,1.6655792627534e-09,137.698953657265
"23",1,"hydralazine",0.261148216063577,1.63034221540503e-09,81.0614508589986
"24",1,"irbesartan",0.673836158059149,1.57239967811441e-09,209.161438806192
"25",1,"triamcinolone",0.436898682029185,1.10764575011392e-09,135.615098496587
"26",1,"dorzolamide",0.353668244762221,1.0901218899677e-09,109.780037847172
"27",1,"olopatadine",0.362609460038045,1.07465631762896e-09,112.555426833649
"28",1,"sitagliptin",0.409462517834608,1.00526003592902e-09,127.098803385934
"29",1,"atorvastatin",0.552680047230322,9.89313608216812e-10,171.554097380481
"30",1,"clopidogrel",0.29975790069455,9.31445841447237e-10,93.046051407191
"31",1,"timolol",0.255849520103375,8.08575690864595e-10,79.4167144381681
"32",1,"omeprazole",0.233182151812981,6.75068472621682e-10,72.3806726513566
"33",1,"sertraline",0.192788722620567,6.29555310128228e-10,59.8423906563146
"34",1,"topiramate",0.21067238978911,6.20793227808553e-10,65.393552480099
"35",1,"pravastatin",0.258102552145788,6.07966740345385e-10,80.1160645962611
"36",1,"gemfibrozil",0.14608538709134,5.83552585270076e-10,45.3454884947004
"37",1,"valsartan",0.245691920172653,5.64124281728506e-10,76.2637547892721
"38",1,"metoprolol",0.148458708070424,5.55257745177728e-10,46.0821768198919
"39",1,"hydroxyzine",0.207629442031896,5.53811426827495e-10,64.4490093244687
"40",1,"hydroxychloroquine",0.172022186404058,5.12153704906686e-10,53.3963747485652
"41",1,"brimonidine",0.144554960556019,4.94813995194149e-10,44.8704379764304
"42",1,"duloxetine",0.142870690239733,4.8036678851366e-10,44.347633733174
"43",1,"rosuvastatin",0.228001987636621,4.73485043063133e-10,70.7727289703578
"44",1,"alendronate",0.115451337681802,4.6348129910477e-10,35.836557021782
"45",1,"flecainide",0.182191796521446,4.39707194246011e-10,56.553062407443
"46",1,"baclofen",0.0925025301810674,4.32942666765269e-10,28.7131553783241
"47",1,"dabigatran",0.198820723634875,4.21658258348779e-10,61.7147478991596
