"","Ensemble_number","Drug","Predicted_concentration","Predicted_mass_load"
"1",1,"metformin",53.7315464926354,16678.4869575
"2",1,"gabapentin",8.76672727775737,2721.227213925
"3",1,"labetalol",2.14135094183709,664.68389775
"4",1,"allopurinol",1.86289423380498,578.24982175
"5",1,"losartan",1.81279543768766,562.69895504
"6",1,"irbesartan",1.684590395098,522.903597
"7",1,"furosemide",1.00374234207678,311.56563795
"8",1,"albuterol",0.827822760608755,256.959496184
"9",1,"lisinopril",0.780924402150101,242.402058125
"10",1,"hydrochlorothiazide",0.691716711688638,214.711634175
"11",1,"minocycline",0.616041349338282,191.221699
"12",1,"timolol",0.511699040218554,158.83342888
"13",1,"verapamil",0.506420259645494,157.194874275
"14",1,"telmisartan",0.482481014829843,149.764036927243
"15",1,"lurasidone",0.480261207974124,149.075
"16",1,"flecainide",0.45547949128394,141.3826560125
"17",1,"tramadol",0.4313898449279,133.905133425
"18",1,"atenolol",0.403283678528627,125.18086695
"19",1,"atorvastatin",0.40049278786678,124.314563325
"20",1,"dicyclomine",0.389288744573443,120.836783470575
"21",1,"mometasone",0.383089336945618,118.912462545268
"22",1,"clopidogrel",0.374697375855337,116.307564255
"23",1,"hydralazine",0.326435270083504,101.326813575
"24",1,"alendronate",0.314867284525167,97.73606458575
"25",1,"omeprazole",0.252088812773031,78.24937584
"26",1,"lovastatin",0.207720818968183,64.477373091
"27",1,"duloxetine",0.204100986043994,63.353762472
"28",1,"calcipotriene",0.15818739070695,49.101998825
"29",1,"pantoprazole",0.141961509046275,44.065420254
"30",1,"rosuvastatin",0.126667770880852,39.3181827525
"31",1,"simvastatin",0.122708130339815,38.08909449
"32",1,"spironolactone",0.115999165080025,36.0066048375
"33",1,"sertraline",0.113405130974472,35.201406275
"34",1,"empagliflozin",0.106916720267136,33.1873776378
"35",1,"cetirizine",0.091951932326903,28.542247602
"36",1,"mirabegron",0.0776131389052654,24.09142876875
"37",1,"fluoxetine",0.0755983701482584,23.4660364875
"38",1,"montelukast",0.070551047942359,21.8993274855
"39",1,"venlafaxine",0.0608824479549233,18.898155375
"40",1,"metoprolol",0.0582191012035927,18.07144189
"41",1,"apixaban",0.0551882603196157,17.13065675625
"42",1,"cyclobenzaprine",0.049520645199482,15.3714063525
"43",1,"amlodipine",0.0411678781684514,12.778674055
"44",1,"escitalopram",0.0308286152626899,9.569325492
"45",1,"ramipril",0.0265339538485329,8.2362454104
"46",1,"donepezil",0.0216154310099097,6.7095162472
"47",1,"glipizide",0.0204378884292728,6.34400232
"48",1,"amiodarone",0.0186344835118104,5.78421822
"49",1,"trazodone",0.0169458191743663,5.260050055
"50",1,"benztropine",0.00916382621035811,2.844488311
"51",1,"risperidone",0.00697495901631422,2.1650551785
"52",1,"meloxicam",0.00684094765893803,2.123457517125
"53",1,"anastrozole",0.00679851241305685,2.1102854470625
"54",1,"budesonide",0.00635776903044097,1.973476938125
"55",1,"latanoprost",0.00443254903741575,1.37588095141
"56",1,"carvedilol",0.00416719250879499,1.2935132235
"57",1,"norethindrone",0.00293941884205745,0.91240736625
"58",1,"doxazosin",0.00187093986752748,0.58074721864
"59",1,"nifedipine",0.00107437308555946,0.33348970325
"60",1,"tolterodine",0.000860164586917372,0.2669985284375
"61",1,"fluticasone",0.00077384953387561,0.240205990713125
"62",1,"warfarin",0.000407655382823675,0.12653786145
"63",1,"acetaminophen",0,0
"64",1,"acyclovir",0,0
"65",1,"adapalene",0,0
"66",1,"alfuzosin",0,0
"67",1,"alogliptin",0,0
"68",1,"alprazolam",0,0
"69",1,"amitriptyline",0,0
"70",1,"amoxicillin",0,0
"71",1,"amphetamine",0,0
"72",1,"ampicillin",0,0
"73",1,"aripiprazole",0,0
"74",1,"aspirin",0,0
"75",1,"atomoxetine",0,0
"76",1,"azelastine",0,0
"77",1,"azithromycin",0,0
"78",1,"baclofen",0,0
"79",1,"beclomethasone",0,0
"80",1,"benazepril",0,0
"81",1,"benzonatate",0,0
"82",1,"benzoyl peroxide",0,0
"83",1,"bepotastine",0,0
"84",1,"betamethasone",0,0
"85",1,"bimatoprost",0,0
"86",1,"bisacodyl",0,0
"87",1,"bismuth subsalicylate",0,0
"88",1,"bisoprolol",0,0
"89",1,"brimonidine",0,0
"90",1,"bromfenac",0,0
"91",1,"bumetanide",0,0
"92",1,"buprenorphine",0,0
"93",1,"bupropion",0,0
"94",1,"buspirone",0,0
"95",1,"cadexomer iodine",0,0
"96",1,"canagliflozin",0,0
"97",1,"carbamazepine",0,0
"98",1,"cefdinir",0,0
"99",1,"cefuroxime",0,0
"100",1,"celecoxib",0,0
"101",1,"cephalexin",0,0
"102",1,"chlorhexidine",0,0
"103",1,"chlorthalidone",0,0
"104",1,"ciclesonide",0,0
"105",1,"ciclopirox",0,0
"106",1,"ciprofloxacin",0,0
"107",1,"citalopram",0,0
