"","Ensemble_number","Drug","Predicted_concentration","Predicted_molar_concentration","Predicted_mass_load"
"1",1,"metformin",66.3031163709843,5.13313124644718e-07,20580.752534019
"2",1,"gabapentin",20.051954620302,1.17098543683146e-07,6224.20692196022
"3",1,"diclofenac",12.1207721475997,4.0927814106364e-08,3762.33615770354
"4",1,"levetiracetam",2.70832051879072,1.59114546494414e-08,840.673522314716
"5",1,"allopurinol",1.88043141092253,1.38151212286945e-08,583.693431675997
"6",1,"ibuprofen",2.73724270716759,1.32692280445383e-08,849.651085275648
"7",1,"benzoyl peroxide",2.61183625594492,1.07824640050568e-08,810.724421190326
"8",1,"ketoconazole",4.72354697326671,8.88837094869824e-09,1466.20787468988
"9",1,"fluorouracil",1.13424306673691,8.71971483830401e-09,352.073584887404
"10",1,"mesalamine",1.29818087523587,8.47725158019202e-09,402.960536396714
"11",1,"lactulose",2.17212784334398,6.34574022951992e-09,674.237171085345
"12",1,"lidocaine",1.15946031261719,4.9477061939857e-09,359.901118877626
"13",1,"acyclovir",0.902184324943919,4.00600478199673e-09,280.041623199892
"14",1,"pregabalin",0.608063159612776,3.81879657356874e-09,188.745236996444
"15",1,"amoxicillin",1.35585083281248,3.71059341218523e-09,420.861521908326
"16",1,"diphenhydramine",0.887945707607311,3.47721738091294e-09,275.62189942414
"17",1,"losartan",1.31197580247339,3.10218434331171e-09,407.24253699095
"18",1,"chlorhexidine",1.55484344416659,3.07615677943732e-09,482.629624443087
"19",1,"sulfacetamide sodium",0.775407484462494,3.04990357324769e-09,240.689584807096
"20",1,"valacyclovir",0.988208841349586,3.04682060346853e-09,306.743977190277
"21",1,"sulfasalazine",1.17346258309605,2.9455121441202e-09,364.247479643345
"22",1,"hydrocortisone",0.919414118580178,2.53655272102812e-09,285.389820063762
"23",1,"cephalexin",0.871271954859919,2.50805133958928e-09,270.446299876338
"24",1,"methocarbamol",0.561786818390848,2.32871759342591e-09,174.380875575793
"25",1,"lisinopril",0.927233523002671,2.2866706691887e-09,287.816994474121
"26",1,"guaifenesin",0.391254526497133,1.97385972261416e-09,121.446970042816
"27",1,"albuterol",0.439955866695079,1.83839653467221e-09,136.564060845619
"28",1,"furosemide",0.605669440282617,1.83125548854876e-09,188.002216941486
"29",1,"clindamycin",0.77777717740545,1.8301500715456e-09,241.425146975361
"30",1,"hydrochlorothiazide",0.487756201838194,1.6382500985396e-09,151.401476075383
"31",1,"imiquimod",0.392719325867331,1.63421965738975e-09,121.901649626523
"32",1,"ciclopirox",0.328042793708805,1.58266051877864e-09,101.825795338388
"33",1,"mupirocin",0.756756210101279,1.5116108137988e-09,234.900154640277
"34",1,"permethrin",0.565358184700711,1.44485722788906e-09,175.489441963839
"35",1,"atenolol",0.376722886326644,1.41443820638446e-09,116.936290807336
"36",1,"nitroglycerin",0.317853272523939,1.39971056002791e-09,98.6629272045207
"37",1,"dorzolamide",0.429808499738238,1.32481120654144e-09,133.414277552748
"38",1,"atorvastatin",0.620015226330592,1.10984556758362e-09,192.455206313921
"39",1,"topiramate",0.340733067715,1.00404605055104e-09,105.764907151007
"40",1,"ciprofloxacin",0.331283210604223,9.99807484613481e-10,102.831633704393
"41",1,"sitagliptin",0.407004153331819,9.9922457363208e-10,126.33571721081
"42",1,"dapsone",0.239350795599304,9.63958097459945e-10,74.2954443572065
"43",1,"labetalol",0.302960899435944,9.22502525595727e-10,94.0402750285147
"44",1,"irbesartan",0.377368293339069,8.80590594434753e-10,117.13662772562
"45",1,"clotrimazole",0.296745117676743,8.60529862187517e-10,92.1108715073319
"46",1,"carbamazepine",0.201092187622131,8.51097402262336e-10,62.41981940666
"47",1,"hydralazine",0.135592818646857,8.46502800891855e-10,42.0885532792591
"48",1,"silver sulfadiazine",0.29002964657011,8.12089507112365e-10,90.0263624139484
"49",1,"pravastatin",0.324670548172723,7.64769248570722e-10,100.779036835006
"50",1,"triamcinolone",0.295196457629775,7.48395715509306e-10,91.6301612341128
"51",1,"clopidogrel",0.234648870904739,7.29130790208001e-10,72.8359481243146
"52",1,"valsartan",0.303042763086836,6.95805466208456e-10,94.0656858332064
"53",1,"sertraline",0.194387638081741,6.34776599555045e-10,60.3387004111248
"54",1,"brimonidine",0.184852890736597,6.32754469557735e-10,57.3790766962026
"55",1,"tramadol",0.165494825460133,6.28347623633189e-10,51.3702558021271
"56",1,"olopatadine",0.203894238471629,6.04276103217748e-10,63.2895871985476
"57",1,"hydroxychloroquine",0.198915571697569,5.92222137958703e-10,61.7441891172122
"58",1,"omeprazole",0.203878216238008,5.90232807127578e-10,63.2846138331427
"59",1,"hydroxyzine",0.204625341164373,5.4579856809467e-10,63.516524398786
"60",1,"docusate",0.215556427760043,5.10096142174363e-10,66.9095774024282
"61",1,"erythromycin",0.368417888840405,5.01974813697096e-10,114.358386367617
"62",1,"acetaminophen",0.0757418515118711,5.01054156133173e-10,23.5105736766908
"63",1,"naproxen",0.112195884096124,4.87251030761016e-10,34.8260512069732
"64",1,"metoprolol",0.129942507902324,4.8600439057005e-10,40.3346742229129
"65",1,"doxycycline",0.21265531921402,4.78479253024076e-10,66.0090617053088
"66",1,"rosuvastatin",0.222750183919215,4.6257877625787e-10,69.14254808926
"67",1,"primidone",0.096804548747779,4.43536712611699e-10,30.0485191495056
"68",1,"timolol",0.136902302571141,4.3266008018185e-10,42.4950223272924
"69",1,"ranitidine",0.132079012917083,4.20098641593776e-10,40.9978539255143
"70",1,"gemfibrozil",0.0980421055736263,3.91638926465923e-10,30.4326617384759
"71",1,"penicillin v potassium",0.152113015473739,3.91559450869387e-10,47.2164884551106
"72",1,"simvastatin",0.161089059382829,3.84852043803077e-10,50.0026883886677
"73",1,"fenofibrate",0.132537081437373,3.67311702013061e-10,41.1400402264863
"74",1,"lamotrigine",0.0920706127335893,3.59524435681164e-10,28.5790864749571
"75",1,"duloxetine",0.105139903212567,3.53506499941385e-10,32.6358465167936
"76",1,"verapamil",0.143297891377753,3.15209907762358e-10,44.4802386752201
"77",1,"sotalol",0.0847240482422374,3.11073756213238e-10,26.2986834705835
"78",1,"metronidazole",0.0512256484690172,2.99292157265986e-10,15.9006461873768
"79",1,"pantoprazole",0.10956562024851,2.85796020159403e-10,34.0096067876186
"80",1,"lovastatin",0.110960768312876,2.74283997441277e-10,34.44266632739
"81",1,"baclofen",0.0570475055079047,2.67001336272136e-10,17.7077738996756
"82",1,"oxcarbazepine",0.0647133913080441,2.5652127381069e-10,20.0872955155821
"83",1,"dabigatran",0.119008976437047,2.5239379887014e-10,36.9408623219653
"84",1,"azithromycin",0.183513560628491,2.45012737889777e-10,56.9633432733263
"85",1,"fluoxetine",0.07473311154248,2.41595151948327e-10,23.197456755232
"86",1,"alendronate",0.0529243106510624,2.12465517917038e-10,16.4279177233324
