"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","HUMAN_ECO","CRITICAL_EFFECT","Molar_Mass"
"1","metformin","DTXSID2023270","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Genetics Estrogen receptor alpha mRNA",129.167
"2","metformin","DTXSID2023270","NOEC",40,"ug/L","Zebra Danio","Fish","eco","Mortality Hatch",129.167
"3","gabapentin","DTXSID0020074","NOEC",8561980,"ug/L","Zebra Danio","Fish","eco","Genetics Adenosine deaminase CECR1-A mRNA",171.24
"4","ibuprofen","DTXSID5020732","NOEC",0.01,"ug/L","Japanese Medaka","Fish","eco","Mortality Hatch",206.285
"5","ibuprofen","DTXSID5020732","NOEC",0.0664,"ug/L","Zebra Danio","Fish","eco","Genetics DNA concentration",206.285
"6","ibuprofen","DTXSID5020732","NOEC",0.1,"ug/L","Japanese Medaka","Fish","eco","Mortality Survival",206.285
"7","ibuprofen","DTXSID5020732","NOEC",1,"ug/L","Japanese Medaka","Fish","eco","Mortality Survival",206.285
"8","ibuprofen","DTXSID5020732","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics Prostaglandin D synthase mRNA",206.285
"9","ibuprofen","DTXSID5020732","NOEC",152.6,"ug/L","Fathead Minnow","Fish","eco","Growth Condition index",206.285
"10","ibuprofen","DTXSID5020732","NOEC",201,"ug/L","Zebra Danio","Fish","eco","Biochemistry Prostaglandin E2",206.285
"11","ibuprofen","DTXSID5020732","NOEC",206.285,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Extracellular signal-regulated kinase 1/2",206.285
"12","ibuprofen","DTXSID5020732","NOEC",213,"ug/L","Fathead Minnow","Fish","eco","Enzyme(s) Cyclooxygenase",206.285
"13","ibuprofen","DTXSID5020732","NOEC",223.9,"ug/L","Channel Catfish","Fish","eco","Morphology Organ weight in relationship to body weight",206.285
"14","ibuprofen","DTXSID5020732","NOEC",506,"ug/L","Zebra Danio","Fish","eco","Genetics Steroidogenic Acute Regulatory protein mRNA",206.285
"15","ibuprofen","DTXSID5020732","NOEC",680,"ug/L","Fathead Minnow","Fish","eco","Growth Length",206.285
