"","Ensemble_number","Drug","Predicted_concentration"
"1",1,"metformin",82.388371305719
"2",1,"gabapentin",19.4816161806656
"3",1,"ibuprofen",5.20885561060722
"4",1,"levetiracetam",4.94493851702108
"5",1,"naproxen",4.5988634097423
"6",1,"sulfasalazine",3.04443132558438
"7",1,"ciprofloxacin",2.64134041011111
"8",1,"allopurinol",2.41982844427451
"9",1,"metaxalone",2.30068321251565
"10",1,"bupropion",2.29580103577301
"11",1,"atorvastatin",2.10926201599978
"12",1,"amoxicillin",2.09293448269058
"13",1,"valacyclovir",2.08259286099063
"14",1,"metoprolol",2.03766854214307
"15",1,"losartan",1.98260784780892
"16",1,"aspirin",1.80421345022859
"17",1,"divalproex sodium",1.66814712284004
"18",1,"pregabalin",1.63470505307059
"19",1,"cephalexin",1.36849271063767
"20",1,"acetaminophen",1.29768531271671
"21",1,"erythromycin",1.21994713530829
"22",1,"sertraline",1.21505497449937
"23",1,"mycophenolate mofetil",1.19426671468006
"24",1,"albuterol",1.18832284919054
"25",1,"trazodone",1.18620734270616
"26",1,"oxcarbazepine",1.08937831334467
"27",1,"nabumetone",0.968273516061238
"28",1,"omeprazole",0.915486744009021
"29",1,"metronidazole",0.911006847014641
"30",1,"clopidogrel",0.87429387702577
"31",1,"verapamil",0.844033765977234
"32",1,"celecoxib",0.809430265864048
"33",1,"acyclovir",0.759363725473025
"34",1,"benzonatate",0.700596821041468
"35",1,"lisinopril",0.671613211907146
"36",1,"quetiapine",0.590979001290235
"37",1,"hydroxychloroquine",0.573407288013526
"38",1,"carbamazepine",0.572201981718489
"39",1,"lamotrigine",0.554142461857589
"40",1,"diltiazem",0.547267863706651
"41",1,"hydralazine",0.544058783465786
"42",1,"sitagliptin",0.534081545001662
"43",1,"diphenhydramine",0.511772370807789
"44",1,"hydrochlorothiazide",0.492369237288602
"45",1,"fenofibrate",0.486114051507613
"46",1,"simvastatin",0.470381166275646
"47",1,"pantoprazole",0.46988826323446
"48",1,"furosemide",0.468413092957008
"49",1,"atenolol",0.443612046421003
"50",1,"tramadol",0.431389845032747
"51",1,"venlafaxine",0.365294687774921
"52",1,"canagliflozin",0.345526317187813
"53",1,"duloxetine",0.340168310094602
"54",1,"amlodipine",0.31169964897348
"55",1,"valsartan",0.311002430598294
"56",1,"rosuvastatin",0.295558132121546
"57",1,"carvedilol",0.291703475586174
"58",1,"pravastatin",0.28678061349532
"59",1,"hydroxyzine",0.276839256042528
"60",1,"famotidine",0.265736009757138
"61",1,"phenytoin",0.231649929421732
"62",1,"ranitidine",0.22166356350477
"63",1,"prednisolone",0.216875427048803
"64",1,"dabigatran",0.213785724338575
"65",1,"topiramate",0.200640371227724
"66",1,"timolol",0.195238578754718
"67",1,"citalopram",0.189237112579325
"68",1,"amiodarone",0.186344835157988
"69",1,"propranolol",0.186104634444807
"70",1,"modafinil",0.180046440580475
"71",1,"buspirone",0.176393934271932
"72",1,"montelukast",0.172458117184841
"73",1,"irbesartan",0.168459039514787
"74",1,"docusate",0.166350417374627
"75",1,"sotalol",0.163891982583958
"76",1,"cyclosporine",0.163266905422303
"77",1,"desvenlafaxine",0.156071231179436
"78",1,"escitalopram",0.154143076271011
"79",1,"fluoxetine",0.151196740273338
"80",1,"isosorbide mononitrate",0.15103370173901
"81",1,"azelastine",0.148042556645646
"82",1,"ticagrelor",0.142349700762318
"83",1,"ketorolac",0.13691982074793
"84",1,"methylphenidate",0.12897056421673
"85",1,"olopatadine",0.121006129210296
"86",1,"oxycodone",0.11972937652996
"87",1,"spironolactone",0.115999165075299
"88",1,"oseltamivir",0.115351817740919
"89",1,"benazepril",0.115038935871359
"90",1,"baclofen",0.108826506095373
"91",1,"nifedipine",0.107437308562008
"92",1,"ofloxacin",0.104922550615636
"93",1,"diclofenac",0.101990696739439
"94",1,"lisdexamfetamine",0.101972289844394
"95",1,"esomeprazole",0.0988264755171645
"96",1,"morphine",0.0986298945213829
"97",1,"apixaban",0.0956596512254815
"98",1,"sumatriptan",0.0946418811553301
"99",1,"empagliflozin",0.0937865967051436
"100",1,"glipizide",0.0919704979511496
"101",1,"paroxetine",0.0914856131946286
"102",1,"indomethacin",0.0898849666428348
"103",1,"prednisone",0.0897208403036282
"104",1,"primidone",0.0833895558908406
"105",1,"cyclobenzaprine",0.0825344086529652
"106",1,"fluconazole",0.0823536811373637
"107",1,"pioglitazone",0.0763136706548298
"108",1,"lovastatin",0.0670067157879093
"109",1,"rivaroxaban",0.061981694410727
"110",1,"alendronate",0.0617386832523005
"111",1,"sildenafil",0.0583827303123389
"112",1,"cetirizine",0.0535804924367652
"113",1,"loratadine",0.0532748929468662
"114",1,"quinapril",0.0519577375172129
"115",1,"dexlansoprazole",0.0503543044380643
"116",1,"ezetimibe",0.0501515864243259
"117",1,"meclizine",0.0501391914229676
"118",1,"olanzapine",0.0472654481343781
"119",1,"dicyclomine",0.0442876842532926
"120",1,"diazepam",0.0442742898009326
"121",1,"olmesartan",0.0425149643513247
"122",1,"amitriptyline",0.0419738798755389
"123",1,"oxybutynin",0.0416044502740876
"124",1,"chlorthalidone",0.0405100985174709
"125",1,"atomoxetine",0.0371079309343455
"126",1,"isosorbide dinitrate",0.036229777353042
"127",1,"nortriptyline",0.0350845136500804
"128",1,"naltrexone",0.0339919686081551
"129",1,"donepezil",0.0337741109528641
"130",1,"meloxicam",0.0325759412330336
"131",1,"doxepin",0.0319116937735665
"132",1,"memantine",0.0293791521448649
"133",1,"ipratropium",0.028524367103947
"134",1,"torsemide",0.0253978638652583
"135",1,"warfarin",0.0244593229696464
"136",1,"finasteride",0.0218874921015388
"137",1,"tizanidine",0.0215762286879089
"138",1,"mirtazapine",0.0201778307051857
"139",1,"alogliptin",0.0189231919310151
"140",1,"glimepiride",0.0185082255554682
"141",1,"alfuzosin",0.0178405786967819
"142",1,"dapagliflozin",0.0165906330999137
"143",1,"aripiprazole",0.0162381541520177
"144",1,"rizatriptan",0.0155396017404655
"145",1,"nebivolol",0.0148842405452422
"146",1,"dexmethylphenidate",0.0146855707010871
"147",1,"zolpidem",0.0140302433329724
"148",1,"liraglutide",0.0138478481524394
"149",1,"levothyroxine",0.0131429740755943
"150",1,"ramipril",0.0126352161177917
"151",1,"enalapril",0.01133723358329
"152",1,"methimazole",0.00875006871923389
"153",1,"methylprednisolone",0.00864335850325399
"154",1,"levocetirizine",0.00794025433858647
"155",1,"lorazepam",0.0069132504270516
"156",1,"tamsulosin",0.00665639575980011
"157",1,"bisoprolol",0.00649316334831056
"158",1,"ibandronate",0.00615422536825473
"159",1,"glyburide",0.0055151355875436
"160",1,"methotrexate",0.00549154625857286
"161",1,"solifenacin",0.00501935969771934
"162",1,"linagliptin",0.00369889204898766
"163",1,"medroxyprogesterone",0.00369823926168754
"164",1,"alprazolam",0.00328757810194761
"165",1,"ropinirole",0.00291762323554386
"166",1,"clonazepam",0.00280253641517181
"167",1,"estradiol",0.0023889720747734
"168",1,"pramipexole",0.00235710163102042
"169",1,"bumetanide",0.00196637118670771
"170",1,"latanoprost",0.00180920368871401
"171",1,"fluticasone",0.00169948247899035
"172",1,"budesonide",0.00168400153053111
"173",1,"bimatoprost",0.00160759490019396
"174",1,"ciclesonide",0.00133357595851844
"175",1,"colchicine",0.000848207030562485
"176",1,"anastrozole",0.000799824989800691
"177",1,"clonidine",0.00073927378829718
"178",1,"digoxin",0.00053782991166081
"179",1,"dulaglutide",0.000198780163573656
"180",1,"linaclotide",0.000164827302974954
"181",1,"beclomethasone",4.27415371850688e-05
"182",1,"tiotropium",2.79666308433891e-05
"183",1,"lactulose",0
"184",1,"mesalamine",0
"185",1,"icosapent",0
"186",1,"bismuth subsalicylate",0
"187",1,"methocarbamol",0
"188",1,"cromolyn",0
"189",1,"ampicillin",0
"190",1,"ranolazine",0
"191",1,"penicillin v potassium",0
"192",1,"guaifenesin",0
"193",1,"gemfibrozil",0
"194",1,"clarithromycin",0
"195",1,"cefdinir",0
"196",1,"clindamycin",0
"197",1,"cefuroxime",0
"198",1,"sulfamethoxazole",0
"199",1,"etodolac",0
"200",1,"hydrocodone",0
"201",1,"dorzolamide",0
"202",1,"levofloxacin",0
"203",1,"oxymetazoline",0
"204",1,"phenazopyridine",0
"205",1,"labetalol",0
"206",1,"dextromethorphan",0
"207",1,"codeine",0
"208",1,"azithromycin",0
"209",1,"sulindac",0
"210",1,"bepotastine",0
"211",1,"zonisamide",0
"212",1,"trimethoprim",0
"213",1,"clavulanate",0
"214",1,"terbinafine",0
"215",1,"pseudoephedrine",0
"216",1,"flurbiprofen",0
"217",1,"fexofenadine",0
"218",1,"flecainide",0
"219",1,"minocycline",0
"220",1,"doxycycline",0
"221",1,"nitrofurantoin",0
"222",1,"moxifloxacin",0
"223",1,"loteprednol",0
"224",1,"tobramycin",0
"225",1,"ziprasidone",0
"226",1,"promethazine",0
"227",1,"lurasidone",0
"228",1,"telmisartan",0
"229",1,"raloxifene",0
"230",1,"hydrocortisone",0
"231",1,"isotretinoin",0
"232",1,"mirabegron",0
"233",1,"phentermine",0
"234",1,"brimonidine",0
"235",1,"lansoprazole",0
"236",1,"metoclopramide",0
"237",1,"nadolol",0
"238",1,"prochlorperazine",0
"239",1,"ketoprofen",0
"240",1,"triamterene",0
"241",1,"temazepam",0
"242",1,"flunisolide",0
"243",1,"piroxicam",0
"244",1,"senna",0
"245",1,"tamoxifen",0
"246",1,"leflunomide",0
